tarefa,tecnica,acuracia,consistencia,tokens_prompt,tokens_resposta,tempo_ms
classificacao_feedback,zero_shot,0.72,0.67,104,18,1820
classificacao_feedback,few_shot,0.88,0.83,169,20,2140
classificacao_feedback,chain_of_thought,0.85,0.78,168,95,3450
classificacao_feedback,role_prompting,0.9,0.89,236,22,2380
extracao_requisitos,zero_shot,0.61,0.56,102,65,2100
extracao_requisitos,few_shot,0.8,0.72,233,68,2750
extracao_requisitos,chain_of_thought,0.83,0.75,176,130,4100
extracao_requisitos,role_prompting,0.78,0.8,264,72,2900
geracao_pitch,zero_shot,0.55,0.44,140,210,5200
geracao_pitch,few_shot,0.74,0.61,247,215,5800
geracao_pitch,chain_of_thought,0.78,0.67,231,280,7100
geracao_pitch,role_prompting,0.86,0.78,280,225,6100
sumarizacao_tendencias,zero_shot,0.65,0.58,135,155,3900
sumarizacao_tendencias,few_shot,0.79,0.7,255,160,4200
sumarizacao_tendencias,chain_of_thought,0.82,0.72,198,220,5500
sumarizacao_tendencias,role_prompting,0.87,0.84,277,168,4600
